ParticipantID,ParticipantCode,LastName,FirstName,BirthDate,Gender,ParticipantType,RegionID,MaritalStatus
18,Part-18,Christine,Bowman,3/6/1978,FEMALE,INDIVIDUAL,245,Single
110,Part-110,Thomas,Burke,9/4/1971,MALE,INDIVIDUAL,388,Married
422,Part-422,Cynthia,Powell,8/21/1970,FEMALE,INDIVIDUAL,263,Single
457,Part-457,Gary,Baker,1/1/1963,MALE,INDIVIDUAL,74,Divorced
690,Part-690,Ruth,Baker,2/13/1952,FEMALE,INDIVIDUAL,146,Married
1002,Part-1002,Barbara,Payne,5/17/1966,FEMALE,INDIVIDUAL,871,Married
1240,Part-1240,Scott,Roberts,1/31/1978,MALE,INDIVIDUAL,863,Married
1326,Part-1326,Patricia,Johnson,2/8/1965,FEMALE,INDIVIDUAL,987,Single
1475,Part-1475,Gerald,Rogers,6/25/2012,MALE,INDIVIDUAL,627,Married
1517,Part-1517,Anthony,Knight,3/19/1969,MALE,INDIVIDUAL,840,Married
1554,Part-1554,Roger,Medina,10/5/1952,MALE,INDIVIDUAL,883,Single
1582,Part-1582,Scott,Miller,7/12/1967,MALE,INDIVIDUAL,142,Married
1971,Part-1971,Jeffrey,Cox,6/30/1966,MALE,INDIVIDUAL,906,Divorced
2165,Part-2165,Jean,Payne,10/17/1984,FEMALE,INDIVIDUAL,412,Single
2286,Part-2286,Bruce,Ortiz,10/20/1965,MALE,INDIVIDUAL,944,Single
2348,Part-2348,Mildred,Reed,8/6/2001,FEMALE,INDIVIDUAL,769,Single
2395,Part-2395,Charles,Riley,10/25/1969,MALE,INDIVIDUAL,983,Married
2932,Part-2932,Jesse,Lane,7/17/1991,MALE,INDIVIDUAL,837,Married
3237,Part-3237,Amanda,Thomas,1/8/1951,FEMALE,INDIVIDUAL,16,Single
3371,Part-3371,Mary,Hernandez,11/24/1962,FEMALE,INDIVIDUAL,767,Single
3919,Part-3919,Amanda,Anderson,1/2/1956,FEMALE,INDIVIDUAL,734,Married
4109,Part-4109,Jack,Simmons,12/10/1960,MALE,INDIVIDUAL,59,Married
4437,Part-4437,Larry,Garza,7/21/1973,MALE,INDIVIDUAL,16,Married
4599,Part-4599,Kenneth,Hernandez,5/3/1967,MALE,INDIVIDUAL,504,Single
5081,Part-5081,Janet,Crawford,5/27/1976,FEMALE,INDIVIDUAL,69,Married
